"user_input","ai_output","confidence","source"
"-c 50138662","# Kompatibilitetsinformation för 3. Paketets innehåll

**Artikelnummer:** 50138662  
","0.72","**3. Paketets innehåll**"
"-c ""**3. Paketets innehåll**""","# Kompatibilitetsinformation för 3. Paketets innehåll

**Artikelnummer:** 50138663  
","0.648","**3. Paketets innehåll**"
"-c 50138663","# Kompatibilitetsinformation för 3. Paketets innehåll

**Artikelnummer:** 50138663  
","0.72","**3. Paketets innehåll**"
"-c 62368","# Kompatibilitetsinformation för 2. Installation

**Artikelnummer:** 62368  

### Passar till
- avbrottsfri strömförsörjning av 8 IP-enheter  
- löpande drift är den inte utrustad med en strömbrytare och därför måste ett lämpligt överbelastningsskydd tillämpas i strömförsörjningskretsen  
- oavbruten strömförsörjning av 4 IP-enheter  
","0.8","**2. Installation**"
"-c ""**2. Installation**""","# Kompatibilitetsinformation för 2. Installation

**Artikelnummer:** 62368  

### Passar till
- avbrottsfri strömförsörjning av 8 IP-enheter  
- löpande drift är den inte utrustad med en strömbrytare och därför måste ett lämpligt överbelastningsskydd tillämpas i strömförsörjningskretsen  
- oavbruten strömförsörjning av 4 IP-enheter  
","0.7200000000000001","**2. Installation**"
"-c 50151788","# Kompatibilitetsinformation för SWITCHENS PARAMETRAR

**Artikelnummer:** 50151788  

### Passar till
- avbrottsfri strömförsörjning av 8 IP-enheter  
","0.8","**SWITCHENS PARAMETRAR**"
"-c ""**SWITCHENS PARAMETRAR**""","# Kompatibilitetsinformation för SWITCHENS PARAMETRAR

**Artikelnummer:** 50151789  

### Passar till
- oavbruten strömförsörjning av 4 IP-enheter  
","0.7200000000000001","**SWITCHENS PARAMETRAR**"
"-c 50151789","# Kompatibilitetsinformation för SWITCHENS PARAMETRAR

**Artikelnummer:** 50151789  

### Passar till
- oavbruten strömförsörjning av 4 IP-enheter  
","0.8","**SWITCHENS PARAMETRAR**"
"-c 01000","# Kompatibilitetsinformation för Produkt 01000

**Artikelnummer:** 01000  

### Passar till
- NEO Serien  eller NOVA Serien  
","0.8","Produkt 01000"
"-c 50131","# Kompatibilitetsinformation för Sensor Data Fusion

**Artikelnummer:** 50131  

### Passar till
- inbrottslarmsanäggningar  
- sabotagesektion  
","0.8","Om Redundancy Panel 1HE"
"-c ""Om Redundancy Panel 1HE""","# Kompatibilitetsinformation för Sensor Data Fusion

**Artikelnummer:** 50131  

### Passar till
- inbrottslarmsanäggningar  
- sabotagesektion  
","0.7200000000000001","Om Redundancy Panel 1HE"
"-c 12101","# Kompatibilitetsinformation för Test av avbrottsfri strömförsörjning

**Artikelnummer:** 12101  
","0.72","Test av avbrottsfri strömförsörjning"
"-c ""Test av avbrottsfri strömförsörjning""","# Kompatibilitetsinformation för Test av avbrottsfri strömförsörjning

**Artikelnummer:** 12101  
","0.648","Test av avbrottsfri strömförsörjning"
